t,y
0.0,0.0
0.0019,0.0
0.0038,0.0
0.0057,0.0
0.0076,0.0
0.0095,0.0
0.0114,0.0
0.0133,0.0
0.0152,0.0
0.0171,0.0
0.019,0.0
0.0209,0.0
0.0228,0.0
0.0247,0.0
0.0266,0.0
0.0285,0.0
0.0304,0.0
0.0323,0.0
0.0342,0.0
0.0361,0.0
0.038,0.0
0.0399,0.0
0.0418,0.0
0.0437,0.0
0.0456,0.0
0.0475,0.0
0.0494,0.0
0.0513,0.0
0.0532,0.0
0.0551,0.0
0.057,0.0
0.0589,0.0
0.0608,0.0
0.0627,0.0
0.0646,0.0
0.0665,0.0
0.0684,0.0
0.0703,0.0
0.0722,0.0
0.0741,0.0
0.076,0.0
0.0779,0.0
0.0798,0.0
0.0817,0.0
0.0836,0.0
0.0855,0.0
0.0874,0.0
0.0893,0.0
0.0912,0.0
0.0931,0.0
0.095,0.0
0.0969,0.0
0.0988,0.0
0.1007,0.0
0.1026,0.0
0.1045,0.0
0.1064,0.0
0.1083,0.0
0.1102,0.0
0.1121,0.0
0.114,0.0
0.1159,0.0
0.1178,0.0
0.1197,0.0
0.1216,0.0
0.1235,0.0
0.1254,0.0
0.1273,0.0
0.1292,0.0
0.1311,0.0
0.133,0.0
0.1349,0.0
0.1368,0.0
0.1387,0.0
0.1406,0.0
0.1425,0.0
0.1444,0.0
0.1463,0.0
0.1482,0.0
0.1501,0.0
0.152,0.0
0.1539,0.0
0.1558,0.0
0.1577,0.0
0.1596,0.0
0.1615,0.0
0.1634,0.0
0.1653,0.0
0.1672,0.0
0.1691,0.0
0.171,0.0
0.1729,0.0
0.1748,0.0
0.1767,0.0
0.1786,0.0
0.1805,0.0
0.1824,0.0
0.1843,0.0
0.1862,0.0
0.1881,0.0
0.19,0.0
0.1919,0.0
0.1938,0.0
0.1957,0.0
0.1976,0.0
0.1995,0.0
0.2014,0.0
0.2033,0.0
0.2052,0.0
0.2071,0.0
0.209,0.0
0.2109,0.0
0.2128,0.0
0.2147,0.0
0.2166,0.0
0.2185,0.0
0.2204,0.0
0.2223,0.0
0.2242,0.0
0.2261,0.0
0.228,0.0
0.2299,0.0
0.2318,0.0
0.2337,0.0
0.2356,0.0
0.2375,0.0
0.2394,0.0
0.2413,0.0
0.2432,0.0
0.2451,0.0
0.247,0.0
0.2489,0.0
0.2508,0.0
0.2527,0.0
0.2546,0.0
0.2565,0.0
0.2584,0.0
0.2603,0.0
0.2622,0.0
0.2641,0.0
0.266,0.0
0.2679,0.0
0.2698,0.0
0.2717,0.0
0.2736,0.0
0.2755,0.0
0.2774,0.0
0.2793,0.0
0.2812,0.0
0.2831,0.0
0.285,0.0
0.2869,0.0
0.2888,0.0
0.2907,0.0
0.2926,0.0
0.2945,0.0
0.2964,0.0
0.2983,0.0
0.3002,0.0
0.3021,0.0
0.304,0.0
0.3059,0.0
0.3078,0.0
0.3097,0.0
0.3116,0.0
0.3135,0.0
0.3154,0.0
0.3173,0.0
0.3192,0.0
0.3211,0.0
0.323,0.0
0.3249,0.0
0.3268,0.0
0.3287,0.0
0.3306,0.0
0.3325,0.0
0.3344,0.0
0.3363,0.0
0.3382,0.0
0.3401,0.0
0.342,0.0
0.3439,0.0
0.3458,0.0
0.3477,0.0
0.3496,0.0
0.3515,0.0
0.3534,0.0
0.3553,0.0
0.3572,0.0
0.3591,0.0
0.361,0.0
0.3629,0.0
0.3648,0.0
0.3667,0.0
0.3686,0.0
0.3705,0.0
0.3724,0.0
0.3743,0.0
0.3762,0.0
0.3781,0.0
0.38,0.0
0.3819,0.0
0.3838,0.0
0.3857,0.0
0.3876,0.0
0.3895,0.0
0.3914,0.0
0.3933,0.0
0.3952,0.0
0.3971,0.0
0.399,0.0
0.4009,0.0
0.4028,0.0
0.4047,0.0
0.4066,0.0
0.4085,0.0
0.4104,0.0
0.4123,0.0
0.4142,0.0
0.4161,0.0
0.418,0.0
0.4199,0.0
0.4218,0.0
0.4237,0.0
0.4256,0.0
0.4275,0.0
0.4294,0.0
0.4313,0.0
0.4332,0.0
0.4351,0.0
0.437,0.0
0.4389,0.0
0.4408,0.0
0.4427,0.0
0.4446,0.0
0.4465,0.0
0.4484,0.0
0.4503,0.0
0.4522,0.0
0.4541,0.0
0.456,0.0
0.4579,0.0
0.4598,0.0
0.4617,0.0
0.4636,0.0
0.4655,0.0
0.4674,0.0
0.4693,0.0
0.4712,0.0
0.4731,0.0
0.475,0.0
0.4769,0.0
0.4788,0.0
0.4807,0.0
0.4826,0.0
0.4845,0.0
0.4864,0.0
0.4883,0.0
0.4902,0.0
0.4921,0.0
0.494,0.0
0.4959,0.0
0.4978,0.0
0.4997,0.0
0.5016,0.0
0.5035,0.0
0.5054,0.0
0.5073,0.0
0.5092,0.0
0.5111,0.0
0.513,0.0
0.5149,0.0
0.5168,0.0
0.5187,0.0
0.5206,0.0
0.5225,0.0
0.5244,0.0
0.5263,0.0
0.5282,0.0
0.5301,0.0
0.532,0.0
